Sample,Basic Statistics,Per base sequence quality,Per tile sequence quality,Per sequence quality scores,Per base sequence content,Per sequence GC content,Per base N content,Sequence Length Distribution,Sequence Duplication Levels,Overrepresented sequences,Adapter Content
DMSO-2-input_S5_L004.bam,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L001.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L002.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L003.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L004.bam,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L001.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L002.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L003.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L004.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-H3K27ac_S14_L001.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-H3K27ac_S14_L002.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-H3K27ac_S14_L003.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-H3K27ac_S14_L004.bam,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-input_S6_L001.bam,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
RUX-2-input_S6_L002.bam,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
RUX-2-input_S6_L003.bam,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
RUX-2-input_S6_L004.bam,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
