Sample,Basic Statistics,Per base sequence quality,Per tile sequence quality,Per sequence quality scores,Per base sequence content,Per sequence GC content,Per base N content,Sequence Length Distribution,Sequence Duplication Levels,Overrepresented sequences,Adapter Content
DMSO-2-input2_S9_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-input2_S9_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-input2_S9_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-input_S5_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
DMSO-2-input_S5_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,WARN,PASS
DMSO-2-input_S5_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
DMSO-2-input_S5_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
DMSO-2-input_S5_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
DMSO-2-input_S5_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,WARN,PASS
DMSO-2-input_S5_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
DMSO-2-input_S5_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-H3K27ac_S10_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,WARN,PASS
RUX-1-H3K27ac_S10_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,PASS,PASS
RUX-1-STAT5_S2_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-STAT5_S2_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-STAT5_S2_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-STAT5_S2_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-STAT5_S2_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-STAT5_S2_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-STAT5_S2_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-STAT5_S2_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-1-input_S2_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-H3K27ac2_S14_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-H3K27ac2_S14_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-H3K27ac2_S14_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-H3K27ac2_S14_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-H3K27ac2_S14_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-H3K27ac2_S14_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-H3K27ac2_S14_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-H3K27ac2_S14_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-H3K27ac_S14_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,FAIL,PASS
RUX-2-H3K27ac_S14_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-H3K27ac_S14_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,FAIL,PASS
RUX-2-H3K27ac_S14_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-H3K27ac_S14_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,FAIL,PASS
RUX-2-H3K27ac_S14_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-H3K27ac_S14_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,PASS,FAIL,PASS
RUX-2-H3K27ac_S14_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-STAT5_S6_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-STAT5_S6_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-STAT5_S6_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-STAT5_S6_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-STAT5_S6_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-STAT5_S6_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-STAT5_S6_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,WARN,PASS
RUX-2-STAT5_S6_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-input2_S10_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-input2_S10_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-input2_S10_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-input2_S10_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-input2_S10_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-input2_S10_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-input2_S10_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-input2_S10_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
RUX-2-input_S6_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,WARN,PASS
RUX-2-input_S6_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,WARN,PASS
RUX-2-input_S6_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,WARN,PASS
RUX-2-input_S6_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
RUX-2-input_S6_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,WARN,PASS
RUX-2-input_S6_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
RUX-2-input_S6_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,WARN,PASS
RUX-2-input_S6_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,WARN,PASS,PASS,PASS
