##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	RUX-2-H3K27ac_S14_L001_R1_001.fastq.gz
File type	Conventional base calls
11103	20-21	0.06421411838331892
11103	22-23	0.04426770585212836
11103	24-25	0.0485618906202987
11103	26-27	0.006320657332167912
11103	28-29	0.10710280714417308
11103	30-31	0.08012119199415935
11103	32-33	0.09032778765391924
11103	34-35	0.11071465929889968
11103	36-37	0.0506162500541123
11103	38-39	0.10296645158472018
11103	40-41	0.08452834920389307
11103	42-43	0.14465286612124828
11103	44-45	0.2554355378877915
11103	46-47	0.2223619427237935
11103	48-49	0.15289560396713853
11103	50-51	0.1531393768764886
11103	52-53	0.22769624960621826
11103	54-55	0.2646700631596346
11103	56-57	0.19124814844639104
11103	58-59	0.27167808291870443
11103	60-61	0.30663467961289825
11103	62-63	0.19010196518853206
11103	64-65	0.13498873174330583
11103	66-67	0.13436138262003539
11103	68-69	0.09151995497327192
11103	70-71	0.13089912243522406
11103	72-73	0.15942195109237645
11103	74-75	0.21922098908475363
11103	76	0.5210263618030879
11104	1	-0.01462283228228145
11104	2	0.09088254259762962
11104	3	0.019929569000890268
11104	4	0.0028037840245858092
11104	5	-0.010945822618658951
11104	6	0.029026064376644456
11104	7	-0.03310238321530079
11104	8	0.023495111438464278
11104	9	0.16310190867470453
11104	10-11	-0.0773693340222863
11104	12-13	-0.027978262919816643
11104	14-15	0.0467190160929718
11104	16-17	0.06508818624818247
11104	18-19	0.02448392351645623
11104	20-21	-0.02133610065639857
11104	22-23	0.0787269469995806
11104	24-25	-0.0318844846726023
11104	26-27	0.029726906877350245
11104	28-29	-0.0013698820231908826
11104	30-31	0.012765532619120279
11104	32-33	0.037183366981231813
11104	34-35	0.01136624788264129
11104	36-37	0.0822544633886082
11104	38-39	-0.007823692355671596
11104	40-41	0.08048200884091017
11104	42-43	0.012759226792262268
11104	44-45	0.2845402676175155
11104	46-47	0.1736436878309604
11104	48-49	0.3306111212085199
11104	50-51	0.17584994304611
11104	52-53	0.16571436470407974
11104	54-55	0.2080753671026585
11104	56-57	0.24912572195812288
11104	58-59	0.20125025867253754
11104	60-61	0.10338775124461108
11104	62-63	0.1936038099246531
11104	64-65	0.1556368056425157
11104	66-67	0.1563117070604605
11104	68-69	-0.021720773668377547
11104	70-71	0.059852066772052126
11104	72-73	0.19314483730248355
11104	74-75	0.15845725810136457
11104	76	0.28006545111188075
11105	1	-0.05510436702601851
11105	2	-0.03149370089764858
11105	3	0.002073347447467455
11105	4	-0.044529835936572226
11105	5	0.06604043407138249
11105	6	-0.18646547763162857
11105	7	0.1341876495492258
11105	8	-0.019420486551183558
11105	9	-0.06026201476601756
11105	10-11	0.03250761368790478
11105	12-13	0.036973628082549226
11105	14-15	-0.05541379142656666
11105	16-17	-0.032998573028926614
11105	18-19	-0.06655164304297756
11105	20-21	-0.08092409786919319
11105	22-23	-0.21213960798107934
11105	24-25	4.0132280245330776E-4
11105	26-27	-0.09161421482581034
11105	28-29	-0.08762583078599562
11105	30-31	-0.007150258103031604
11105	32-33	-0.10172487752218728
11105	34-35	-0.04370232041138422
11105	36-37	-0.07021725682310631
11105	38-39	-0.05197802231680271
11105	40-41	0.03736663221290826
11105	42-43	-0.22088957019352762
11105	44-45	-0.17854840832515606
11105	46-47	-0.13826541116924318
11105	48-49	0.030896521867134652
11105	50-51	-0.04011440680621092
11105	52-53	-0.16461085062113767
11105	54-55	5.901805747541289E-4
11105	56-57	-0.07967244039872412
11105	58-59	-0.12440859668088677
11105	60-61	-0.1943742380030784
11105	62-63	-0.09338372137656847
11105	64-65	-0.22331148442201254
11105	66-67	-0.1741860629692269
11105	68-69	-0.07818303249919722
11105	70-71	-0.15716626508336873
11105	72-73	-0.12198680094940073
11105	74-75	-0.18257503319915003
11105	76	-0.1394280786836859
11106	1	0.022576990491312898
11106	2	0.05305947362701957
11106	3	0.07576770221607276
11106	4	0.0024641000783454103
11106	5	0.01752855339670134
11106	6	-0.022032863403595115
11106	7	-0.073025585105718
11106	8	0.08320564164080224
11106	9	-0.08265499577073143
11106	10-11	-0.054719799241603084
11106	12-13	0.037325237301722325
11106	14-15	0.02645465336959063
11106	16-17	-0.014789232153837872
11106	18-19	-0.13399931381924546
11106	20-21	-0.0037197958269814535
11106	22-23	0.09171025817960299
11106	24-25	0.10622805409567349
11106	26-27	0.04548085754934306
11106	28-29	-0.0523593961274571
11106	30-31	0.0025321845169159474
11106	32-33	0.06393716996453946
11106	34-35	0.17808755935804754
11106	36-37	0.09361615294701409
11106	38-39	0.15800410265245546
11106	40-41	0.12070206496260738
11106	42-43	0.06978182315911852
11106	44-45	0.14377228652166707
11106	46-47	0.022512392601306885
11106	48-49	0.1815947277658978
11106	50-51	0.15809185709130702
11106	52-53	0.14492205575519534
11106	54-55	0.1452002178857157
11106	56-57	0.2434403912479013
11106	58-59	0.3910900226055176
11106	60-61	0.1715500320710106
11106	62-63	0.18183106708896446
11106	64-65	0.20642470582721018
11106	66-67	0.20159431298412045
11106	68-69	0.15166704017934052
11106	70-71	0.17193670269242034
11106	72-73	0.17724159717155885
11106	74-75	0.2981126743668483
11106	76	0.6015453836694036
11107	1	0.13598715479044543
11107	2	0.04006932671211061
11107	3	0.05868253776498378
11107	4	0.0368325847942117
11107	5	-0.08075612235109375
11107	6	-0.0244435565234582
11107	7	-0.07946200201096332
11107	8	-0.053755888170705646
11107	9	0.15580972216115896
11107	10-11	-0.16782178870166575
11107	12-13	-0.03164119169953494
11107	14-15	-0.004403251892483695
11107	16-17	-0.006745382582060699
11107	18-19	-0.07137994925509616
11107	20-21	-0.1387341104570865
11107	22-23	0.03928011418233268
11107	24-25	0.023754814248121647
11107	26-27	-0.15911775535996497
11107	28-29	-0.0186157708486121
11107	30-31	0.016330454604506883
11107	32-33	-0.01170729230987888
11107	34-35	0.036038105502214535
11107	36-37	-0.07116104333056938
11107	38-39	-0.012935678646741167
11107	40-41	0.052376907076180146
11107	42-43	0.14658209304004544
11107	44-45	0.21269707848846053
11107	46-47	-0.041585846486448474
11107	48-49	0.04739643822743034
11107	50-51	-0.027260720453881504
11107	52-53	0.12696800989542822
11107	54-55	0.09610616020979279
11107	56-57	0.13716789789403094
11107	58-59	0.1848445864406827
11107	60-61	0.15297666455847292
11107	62-63	-0.014667473309586398
11107	64-65	-0.09176399652186262
11107	66-67	0.06903324753131557
11107	68-69	0.07382313347186908
11107	70-71	0.04802498585844717
11107	72-73	0.007838421062885459
11107	74-75	0.001761649227638884
11107	76	0.20505495279160613
11108	1	0.04397617488815442
11108	2	0.020171014743244342
11108	3	0.004783402426152605
11108	4	-0.06288843881049289
11108	5	-0.104492430450982
11108	6	-0.18363802828744724
11108	7	-0.0957388972803912
11108	8	-0.07418828624493301
11108	9	-0.17973317130323352
11108	10-11	-0.11982382933392444
11108	12-13	0.014167352082942841
11108	14-15	-0.09916074121536411
11108	16-17	-0.05578881320025175
11108	18-19	0.011676422137526288
11108	20-21	-0.01196489271376322
11108	22-23	-0.0658511004356086
11108	24-25	0.043531952172401134
11108	26-27	0.007641964792412637
11108	28-29	0.04984357633312442
11108	30-31	-0.03655603384530792
11108	32-33	-0.029005270635977354
11108	34-35	0.03999834937187785
11108	36-37	-0.10060723937375116
11108	38-39	-0.10322426942957463
11108	40-41	-0.029484711054024615
11108	42-43	0.07603097452010843
11108	44-45	0.07475528926900665
11108	46-47	0.13591650488814366
11108	48-49	0.1546796673666151
11108	50-51	0.07415317164784341
11108	52-53	0.14958450349958952
11108	54-55	0.2907192057784016
11108	56-57	0.06122411467693212
11108	58-59	-0.035299014206316315
11108	60-61	0.0011760801723212921
11108	62-63	0.07676023674416399
11108	64-65	0.08035999568281227
11108	66-67	0.06754897178010566
11108	68-69	0.04193442491247623
11108	70-71	-0.20343112029192412
11108	72-73	0.06565957451898896
11108	74-75	0.0940972417318946
11108	76	0.16104965608634103
11109	1	0.019148450013233287
11109	2	0.09750833138200932
11109	3	0.08970513752095499
11109	4	0.04688045981932376
11109	5	-0.016681624499835124
11109	6	-0.037738431396661554
11109	7	0.11061948843608604
11109	8	0.010422126559312517
11109	9	0.030585537678156527
11109	10-11	-0.05662996028731726
11109	12-13	0.01541886769096834
11109	14-15	0.10878265462135772
11109	16-17	0.05740721232270829
11109	18-19	-0.013727173042667573
11109	20-21	-0.030144292107763704
11109	22-23	0.1644874542028134
11109	24-25	0.04050984798604418
11109	26-27	0.14716112523668556
11109	28-29	0.08250766292263734
11109	30-31	0.022740231988088055
11109	32-33	-0.03408255753359413
11109	34-35	0.09623408929232369
11109	36-37	0.016613613287404405
11109	38-39	-0.03123213383679513
11109	40-41	0.0752091326589408
11109	42-43	0.0665415214836429
11109	44-45	0.011229270670156666
11109	46-47	0.1633830966612777
11109	48-49	0.20163040495507545
11109	50-51	0.08153068442695854
11109	52-53	0.07903836124747698
11109	54-55	0.05103422385230516
11109	56-57	0.09621135090606714
11109	58-59	0.18544802208514
11109	60-61	-0.007307699713265947
11109	62-63	0.03686464585209137
11109	64-65	0.13229816393220517
11109	66-67	0.2515310154104782
11109	68-69	0.12088561396862474
11109	70-71	0.19711644589993682
11109	72-73	0.2588864333938261
11109	74-75	0.16753143852425723
11109	76	0.05434725879373303
11110	1	0.01274806802979711
11110	2	0.01040795035833142
11110	3	-0.030436090776532865
11110	4	0.0875885688093696
11110	5	-0.05317040013735408
11110	6	-0.007905573143233369
11110	7	0.06442396666398764
11110	8	0.0937506611057799
11110	9	0.14680855649899627
11110	10-11	0.026233091933086428
11110	12-13	0.021206804500550902
11110	14-15	0.10379491552181008
11110	16-17	3.9702449819145613E-4
11110	18-19	0.08964349485249556
11110	20-21	0.03409226888960859
11110	22-23	0.021255063351219405
11110	24-25	0.04448924199523674
11110	26-27	0.07081122649108096
11110	28-29	-0.035339145404215344
11110	30-31	-0.02245174348050938
11110	32-33	-0.11770681732072319
11110	34-35	0.030440321956710648
11110	36-37	0.10703895376133943
11110	38-39	-0.026873035816777247
11110	40-41	0.04805929200642822
11110	42-43	0.045246125455634
11110	44-45	0.05843798886817808
11110	46-47	0.16893280047301573
11110	48-49	0.04880717589439598
11110	50-51	0.15262216485919566
11110	52-53	0.23500812713135133
11110	54-55	0.20031021530841286
11110	56-57	0.2069895352278266
11110	58-59	0.07446548990498769
11110	60-61	0.08507190496555239
11110	62-63	0.10144782471122227
11110	64-65	0.1423332316308361
11110	66-67	0.06421221287678947
11110	68-69	0.09562051021841711
11110	70-71	0.09301392660350416
11110	72-73	0.23595275468142063
11110	74-75	0.17607649333218234
11110	76	0.45103858484996096
11111	1	0.014740705362509487
11111	2	0.10716210340844157
11111	3	0.04243680838312969
11111	4	-0.03799013489433278
11111	5	0.0019523434045076726
11111	6	-9.793651600347175E-4
11111	7	0.0023482683291007334
11111	8	0.027057490782098625
11111	9	-0.027150263139972708
11111	10-11	-0.04187765931185794
11111	12-13	0.05383852038134762
11111	14-15	-0.10634625900355132
11111	16-17	-0.022556601396608755
11111	18-19	-0.011799860267331042
11111	20-21	0.021292096737411725
11111	22-23	0.04627852759803375
11111	24-25	0.009445450172954395
11111	26-27	-0.02894707960913223
11111	28-29	0.01623539066021351
11111	30-31	0.030813312541901894
11111	32-33	0.05751396543682574
11111	34-35	0.08527249788263447
11111	36-37	0.0015884402225836425
11111	38-39	0.08522770725823392
11111	40-41	-0.08129375129422556
11111	42-43	0.07794835565326252
11111	44-45	0.058448930744930294
11111	46-47	0.192112558487338
11111	48-49	0.2687361212085193
11111	50-51	0.09197664163315267
11111	52-53	0.16694604864932927
11111	54-55	0.02452088415369502
11111	56-57	0.11186982526414369
11111	58-59	0.009118470216783692
11111	60-61	-0.07907352700811998
11111	62-63	0.01657386080469081
11111	64-65	-0.057429820878773796
11111	66-67	0.026981218109845884
11111	68-69	0.01198915383984911
11111	70-71	-0.15212019031116597
11111	72-73	-0.08888520732314475
11111	74-75	-0.10676675675487957
11111	76	-0.2712873664687194
11112	1	0.010881856079549834
11112	2	0.0317540263262579
11112	3	0.09689592311010387
11112	4	-0.028690976041602312
11112	5	0.008579825478417291
11112	6	-0.015408574343709347
11112	7	-0.030653403623468023
11112	8	0.06701414067178035
11112	9	-0.011503717359495624
11112	10-11	0.05336977243110397
11112	12-13	-0.016169106824946766
11112	14-15	-0.07296107215854875
11112	16-17	-0.05882245909104
11112	18-19	0.1123383085136922
11112	20-21	0.07683819608932652
11112	22-23	0.10292992548826874
11112	24-25	0.08214199078244633
11112	26-27	-0.03593222163891596
11112	28-29	0.11051649414890363
11112	30-31	0.21771864900080828
11112	32-33	0.09951100073743646
11112	34-35	0.04523828318323808
11112	36-37	0.07599320212734284
11112	38-39	0.14851363835252585
11112	40-41	0.06695835273447415
11112	42-43	0.2668804009465475
11112	44-45	0.23015270124319898
11112	46-47	0.18891216823189438
11112	48-49	0.15970604394582466
11112	50-51	0.2740591787718998
11112	52-53	0.09208868604528675
11112	54-55	0.26429915372080615
11112	56-57	0.23097646343074274
11112	58-59	0.22228843686701794
11112	60-61	0.1473743995512038
11112	62-63	0.18335441920753937
11112	64-65	0.25361986785115676
11112	66-67	0.2377444442589578
11112	68-69	0.16231202129019806
11112	70-71	0.1968251035356232
11112	72-73	0.3059861333010332
11112	74-75	0.251263052484866
11112	76	0.1222692881878018
11201	1	-0.1006415730861221
11201	2	0.004845215872624209
11201	3	-0.05401606717970253
11201	4	-0.004080750940179456
11201	5	-0.13726813346819
11201	6	-0.07128834745639523
11201	7	-0.10448471110193225
11201	8	0.05124234291062635
11201	9	-0.052290331703211734
11201	10-11	-0.026162797973348972
11201	12-13	-0.08985311771730409
11201	14-15	-0.051025892139044515
11201	16-17	-0.02433719902248299
11201	18-19	0.012161457784245044
11201	20-21	0.011614414328491307
11201	22-23	-0.002154335428983245
11201	24-25	0.027809622041559123
11201	26-27	-0.002089092503119616
11201	28-29	-0.050943954663168256
11201	30-31	-0.05066821631606189
11201	32-33	-0.02604748564790782
11201	34-35	-0.015195356701887874
11201	36-37	-0.057411764443806135
11201	38-39	-0.14940504448143344
11201	40-41	0.048842575711503855
11201	42-43	-0.03642932208494898
11201	44-45	0.07581971219971706
11201	46-47	-0.06475793627019755
11201	48-49	0.004831304694761229
11201	50-51	0.059831780388037714
11201	52-53	-0.060209575290961936
11201	54-55	-0.11593084859688219
11201	56-57	-0.0055628150842821356
11201	58-59	-0.06362423911179604
11201	60-61	-0.05444483116436061
11201	62-63	0.003704452816378989
11201	64-65	0.0019982090565093813
11201	66-67	-0.007220753836591598
11201	68-69	-0.03954569921238971
11201	70-71	0.15065846718736964
11201	72-73	0.07652421048742042
11201	74-75	0.051609081687779224
11201	76	0.07862537349637222
11202	1	-0.049674221699866905
11202	2	-0.0797150972957823
11202	3	-0.03996384554040944
11202	4	0.06106796369721579
11202	5	-0.02536531253110752
11202	6	-0.10330739584414061
11202	7	0.02212411088443389
11202	8	-0.16015924714547225
11202	9	-0.03901457400516506
11202	10-11	-0.06459049884908552
11202	12-13	-0.012755575443605949
11202	14-15	-0.23789461161924663
11202	16-17	-0.16788859334832296
11202	18-19	-0.09760971942225893
11202	20-21	-0.08407306297083039
11202	22-23	0.009415945857590202
11202	24-25	-0.03608319042060515
11202	26-27	-0.009717326088001244
11202	28-29	-0.08463215838405347
11202	30-31	-0.11222114419854279
11202	32-33	-0.02395862007625027
11202	34-35	0.024464839431928453
11202	36-37	-0.00635365995457704
11202	38-39	-0.12954495138245647
11202	40-41	-0.01450656485116042
11202	42-43	-0.0597125121394555
11202	44-45	-0.09178472705019658
11202	46-47	-0.14522160361606495
11202	48-49	-0.18482198505599712
11202	50-51	-0.013883906947853575
11202	52-53	-0.07291629039679748
11202	54-55	-0.03542814892184509
11202	56-57	0.010118203739743592
11202	58-59	-0.006985117401157481
11202	60-61	-0.013650366005364845
11202	62-63	-0.12300696525261401
11202	64-65	-0.07013624603892765
11202	66-67	-0.0731132329470725
11202	68-69	-0.01707325745103816
11202	70-71	-0.08428007818538674
11202	72-73	-0.043782298337177394
11202	74-75	0.055432761013278764
11202	76	-0.13180722005719758
11203	1	0.03340201870639703
11203	2	-0.053149120337181444
11203	3	-0.056587508169627654
11203	4	-0.05543835543108955
11203	5	-0.12626954774401966
11203	6	-0.07481133194616518
11203	7	0.0036512198626894588
11203	8	-0.11183870545894337
11203	9	-0.17388695883925465
11203	10-11	0.006732655949015509
11203	12-13	-0.11885530098471975
11203	14-15	0.006654996414006575
11203	16-17	0.022617594302673183
11203	18-19	0.06178532059614383
11203	20-21	0.01893070056722479
11203	22-23	0.06003635442333177
11203	24-25	0.019382978823564656
11203	26-27	-0.041135308897345624
11203	28-29	-0.04262630764367259
11203	30-31	-0.04676993049860556
11203	32-33	0.028329413844893736
11203	34-35	-0.0738262842060422
11203	36-37	0.0463565374088617
11203	38-39	0.0824180480466481
11203	40-41	0.11563359108436089
11203	42-43	-0.01879312720011228
11203	44-45	-0.12451070260372887
11203	46-47	-0.05157305026465053
11203	48-49	-0.03437425035379249
11203	50-51	0.14368904678684657
11203	52-53	0.005736834480643438
11203	54-55	0.08681338360123192
11203	56-57	0.0017768480177764445
11203	58-59	-0.048294211197053016
11203	60-61	-0.019150571088786705
11203	62-63	-0.036577990044662556
11203	64-65	0.06612919852216237
11203	66-67	0.0023632520480632024
11203	68-69	-0.026441670011294605
11203	70-71	-0.020348995183866236
11203	72-73	-0.08959020944379148
11203	74-75	0.15536372722323932
11203	76	0.20239041179790718
11204	1	-0.15106906574979106
11204	2	0.10433855179832108
11204	3	0.05823894220388226
11204	4	-0.012319850247983766
11204	5	0.08635147467863646
11204	6	0.11546654741287199
11204	7	-0.024292722490748986
11204	8	-0.00485451478350285
11204	9	-0.17023909190034203
11204	10-11	0.026477704505602162
11204	12-13	-0.01893283451268246
11204	14-15	0.028352138577155017
11204	16-17	-0.09158231403934991
11204	18-19	0.07557075502882071
11204	20-21	-0.05643098277256797
11204	22-23	0.048330167241090294
11204	24-25	-0.04500121842763605
11204	26-27	-0.006282293812695627
11204	28-29	-0.008816690533826943
11204	30-31	-0.04402572672533012
11204	32-33	-0.1376297440020977
11204	34-35	0.018686546905058776
11204	36-37	-0.012299878187008062
11204	38-39	-0.06108418689275652
11204	40-41	-0.03802287902567514
11204	42-43	-0.1326979324946862
11204	44-45	-0.15632229707482992
11204	46-47	0.15363793739967946
11204	48-49	0.018960747430483593
11204	50-51	-0.047888644597676944
11204	52-53	-0.16688041649830154
11204	54-55	-0.15029678507905686
11204	56-57	-0.056032148623714306
11204	58-59	-0.0832460582401282
11204	60-61	-0.1226723501393252
11204	62-63	-0.10542856041559645
11204	64-65	-0.12978374548097094
11204	66-67	-0.05790129192032367
11204	68-69	0.030538660836903375
11204	70-71	-0.06969763693174968
11204	72-73	-0.20235136517639774
11204	74-75	-0.117067201062234
11204	76	-0.40437359173861154
11205	1	-0.02140546266352672
11205	2	-0.03290872271612599
11205	3	-0.01947876667042081
11205	4	-0.03999056742028273
11205	5	-0.006777986962934079
11205	6	-0.0883554001328477
11205	7	0.03959377314867396
11205	8	0.027397976240983724
11205	9	-0.009829915883422302
11205	10-11	-0.022466126316309953
11205	12-13	-0.02409628405513331
11205	14-15	0.026196555916527586
11205	16-17	0.01715340025110379
11205	18-19	0.04406807514212829
11205	20-21	0.00794847803993548
11205	22-23	0.07826839155832488
11205	24-25	0.08698892160565208
11205	26-27	-0.024072151696792332
11205	28-29	0.0650068753570281
11205	30-31	0.021810078895498464
11205	32-33	-0.03209871787178997
11205	34-35	0.15374225710985456
11205	36-37	0.042688703857450605
11205	38-39	0.15653398712311883
11205	40-41	0.10741146424787473
11205	42-43	0.23198520017048452
11205	44-45	0.09087743523496528
11205	46-47	0.2862114112637357
11205	48-49	0.16522162322813472
11205	50-51	0.21447706988442405
11205	52-53	0.10166452143899818
11205	54-55	0.1867296325826331
11205	56-57	0.12757314148620935
11205	58-59	0.1457328107532092
11205	60-61	0.12911125356485087
11205	62-63	0.02959104891409936
11205	64-65	0.12326802604493992
11205	66-67	0.1407906464141675
11205	68-69	0.2177355884897949
11205	70-71	0.24036042073410613
11205	72-73	0.16200764487147268
11205	74-75	0.26327067813409855
11205	76	0.10739157893142703
11206	1	-0.19210302394555256
11206	2	0.035297061403806396
11206	3	-0.056235286468712786
11206	4	-0.06513019862550351
11206	5	-0.024230718174703014
11206	6	0.006595824171199638
11206	7	0.06204903703461184
11206	8	-0.05792106719671608
11206	9	-0.006050952181517744
11206	10-11	-0.007739194032936325
11206	12-13	-0.0022925656350452073
11206	14-15	0.0018641728371946442
11206	16-17	0.07813037095895936
11206	18-19	-0.03301944311785121
11206	20-21	-0.08560342707900759
11206	22-23	0.04478062524329118
11206	24-25	-0.038938444774075265
11206	26-27	0.02001909941751734
11206	28-29	0.10012083232963676
11206	30-31	-0.10102795959847555
11206	32-33	0.20731584012644788
11206	34-35	0.039361612888427544
11206	36-37	0.0741816079244515
11206	38-39	0.08342581802427418
11206	40-41	0.054042525879687275
11206	42-43	0.09809020994933348
11206	44-45	0.12031778426459994
11206	46-47	0.21309923032998057
11206	48-49	-0.0919119965829367
11206	50-51	0.04862664085760571
11206	52-53	0.2116505909535249
11206	54-55	0.1349219161245827
11206	56-57	0.11189253547387068
11206	58-59	0.10163781488509471
11206	60-61	0.12771574882842174
11206	62-63	0.1943957801746592
11206	64-65	0.043146205387621706
11206	66-67	0.08955869669240002
11206	68-69	0.30204608540417865
